index,question,answer_summary
674,"Какие значения должно соответствовать расстояние между внутренними гранями колес у локомотивов, вагонов, специального самоходного подвижного состава, эксплуатируемых со скоростью до 120 км/ч?",от 1437 до 1443 мм
675,"Какие значения должно соответствовать расстояние между внутренними гранями колес у локомотивов, эксплуатируемых со скоростью от 140 до 200 км/ч?",от 1439 до 1441 мм
676,"Какие значения должно соответствовать расстояние между внутренними гранями колес у пассажирских вагонов, эксплуатируемых со скоростью от 140 до 160 км/ч?",от 1439 до 1443 мм
677,Какие неисправности запрещается иметь при эксплуатации колесных пар железнодорожного подвижного состава?,Запрещается иметь неисправности в буксах колесных пар.
678,Какие неисправности запрещается иметь у колесных пар с подшипниками кассетного типа?,Запрещается иметь неисправности в колесных парах с подшипниками кассетного типа.
679,Каким образом допускается эксплуатация колесной пары железнодорожного подвижного состава?,Колесная пара допускается к эксплуатации с равномерно распределенной смазкой.
680,Какие параметры запрещают эксплуатацию колесных пар локомотива?,Запрещается эксплуатация колесных пар локомотива с определенными параметрами.
681,Какие дефекты запрещается иметь у колесных пар мотор-вагонного подвижного состава?,"Запрещается иметь трещины, остроконечный накат, забоины, следы контакта, сдвиг или ослабление ступицы, кольцевые выработки, уширение обода, отколы и навар на колесных парах."
682,Какие дефекты запрещены при скоростях движения до 120 км/ч?,"При скоростях до 120 км/ч запрещены равномерный прокат бандажа, толщина гребня, вертикальный подрез гребня и ползун на круге катания."
683,Какие дефекты запрещены при скоростях движения от 120 до 140 км/ч?,"При скоростях от 120 до 140 км/ч запрещены равномерный прокат бандажа, толщина гребня, трещины, расслоение, выщербины, раковины и вмятины на круге катания."
684,Какие трещины запрещается иметь у грузовых вагонов при скоростях движения до 120 км/ч?,запрещены трещины в оси и колесах колесной пары
685,Какие повреждения запрещается иметь на поверхности катания колеса грузовых вагонов?,"запрещены остроконечный накат, забоины, следы контакта, кольцевые выработки, уширение обода, откол, навар, ползун, выщербины, трещины, подрез, толщина обода и гребня"
686,Какие повреждения запрещается иметь на гребне колеса грузовых вагонов?,запрещены вертикальный подрез гребня и неправильная толщина гребня колеса
687,Какие повреждения запрещается иметь на ободе колеса грузовых вагонов?,"запрещены неправильная толщина обода, уширение обода, откол и навар на ободе колеса"
688,Какие повреждения запрещается иметь на колесных парах грузовых вагонов при скоростях движения от 120 до 140 км/ч?,"запрещены повреждение, выщербины, трещина, неравномерный прокат, неправильная толщина гребня и обода колеса"
689,Какие дефекты запрещается иметь у колесных пар специального железнодорожного подвижного состава?,"Запрещается иметь трещины, остроконечный накат, сдвиг ступицы, вертикальный подрез гребня, ползун, следы контакта с электродом, забоины, кольцевые выработки, местное уширение, повреждение от навара, неравномерный прокат, выщербины, отколы наружной боковой поверхности обода колеса."
690,Какие дефекты запрещается иметь у колесных пар мотор-вагонного подвижного состава?,"Неисправности, указанные в пунктах 152 и 153 Правил, запрещены у колесных пар мотор-вагонного подвижного состава."
691,"Какие дефекты запрещается иметь у грузовых вагонов, укомплектованных колесными парами?","Неисправности, указанные в пунктах 152 и 153 Правил, запрещены у грузовых вагонов, укомплектованных колесными парами."
692,Какие дефекты запрещается иметь у колесных пар пассажирских вагонов?,"Запрещается иметь остроконечный накат, трещины, забоины, откол гребня, следы контакта с электродом, сдвиг ступицы, кольцевые выработки, уширение обода, повреждение от навара, вертикальный подрез гребня и выщербины."
693,Какие дефекты запрещены при скоростях движения до 120 км/ч?,"При скоростях до 120 км/ч запрещены равномерный и неравномерный прокат, недопустима толщина гребня и обода колеса."
694,Какую скорость должен иметь поезд при ползуне глубиной не более 1 мм на колесной паре скоростного и высокоскоростного мотор-вагонного подвижного состава?,Скорость не более 200 км/ч
695,Какую скорость должен иметь поезд при ползуне глубиной более 1 до 2 мм включительно на колесной паре немоторного вагона мотор-вагонного подвижного состава?,Скорость не более 100 км/ч
696,Какую скорость должен иметь поезд при выщербине длиной более 25 до 40 мм включительно на колесной паре пассажирского вагона?,С установленной скоростью
697,Какую скорость должен иметь поезд при ползуне глубиной более 2 до 6 мм включительно на колесной паре пассажирского и грузового вагонов?,Скорость не более 15 км/ч
698,"Что должно быть сделано с локомотивом, мотор-вагонным или специальным самоходным подвижным составом, на колесных парах которых имеются ползуны (выбоины), требующие вывешивание или исключение возможности вращения колеса?","Отцепить от поезда, отключить тормозные цилиндры и электродвигатель"
699,Какие условия запрещают эксплуатацию скоростных пассажирских вагонов сочлененного типа?,"Запрещается эксплуатация при определенных условиях, таких как толщина гребня колеса, разница диаметров колес, наличие трещин и наката на гребне колеса, вертикальный подрез гребня."
700,Какие действия разрешены при обнаружении ползуна на колесе пассажирских вагонов?,При обнаружении ползуна на колесе пассажирских вагонов разрешается довести поезд до железнодорожной станции назначения или до ближайшей железнодорожной станции с определенными ограничениями скорости.
701,Каковы ограничения по высоте продольной оси автосцепки для различных типов железнодорожного подвижного состава?,"у локомотивов, пассажирских, почтовых, багажных, почтово-багажных вагонов и специального железнодорожного подвижного состава - более 1080 мм и менее 980 мм; у грузовых вагонов - более 1080 мм и менее 950 мм."
702,Какие ограничения по высоте продольной оси хвостовика автосцепки для головных пассажирских вагонов в международном сообщении?,"Головные пассажирские вагоны, оборудованные автосцепкой полужесткого типа, запрещается включать в поезда, курсирующие в международном сообщении, с высотой продольной оси хвостовика автосцепки над уровнем верха головок рельсов менее 1015 мм и более 1115 мм."
703,Какие ограничения по разнице высоты между продольными осями автосцепок для различных типов железнодорожного подвижного состава?,"Запрещается включать в состав поезда железнодорожный подвижной состав, у которого разница по высоте между продольными осями автосцепок, совместимых с автосцепкой СА-3 составляет: в грузовом поезде - более 100 мм; между локомотивом и первым груженым грузовым вагоном грузового поезда - более 110 мм; в пассажирском поезде, следующем со скоростью до 120 км/ч, - более 70 мм; в пассажирском поезде, следующем со скоростью от 120 до 140 км/ч включительно, - более 50 мм; между локомотивом и первым вагоном пассажирского поезда - более 100 мм; между локомотивом и подвижными единицами специального железнодорожного подвижного состава - более 100 мм."
704,Что должно иметь автосцепное устройство пассажирских вагонов и специального железнодорожного подвижного состава?,"Автосцепное устройство пассажирских вагонов и специального железнодорожного подвижного состава должно иметь устройство, предотвращающее несанкционированное расцепление."
705,Какую высоту должны иметь переходные устройства для транспортировки мотор-вагонного подвижного состава и пассажирских вагонов?,высота от 980 до 1080 мм
706,Какие устройства необходимы для транспортировки мотор-вагонного подвижного состава и пассажирских вагонов с сцепными устройствами жесткого типа?,переходные устройства (адаптеры)
707,Какие типы вагонов допускается транспортировать с использованием переходных устройств?,мотор-вагонный подвижной состав и пассажирские вагоны
708,Какие требования должны соответствовать сцепные устройства пассажирских вагонов для эксплуатации со скоростью от 140 до 160 км/ч?,Устройство должно быть ударно-тяговым и включать автосцепку полужесткого типа или сцепку жесткого типа.
709,Какие требования к сцепным устройствам пассажирских вагонов при скорости от 160 до 200 км/ч?,Применение автосцепки полужесткого типа с нижним ограничителем вертикальных перемещений.
710,Обязательно ли наличие буферов при использовании сцепных устройств жесткого типа?,Наличие буферов при использовании сцепных устройств жесткого типа не обязательно.
711,Какие требования к сцепкам головной и хвостовой сцепок высокоскоростных поездов при скорости движения от 200 до 250 км/ч?,Сцепки головной и хвостовой сцепок высокоскоростных поездов должны быть жесткого типа.
712,"Какое оборудование должны иметь локомотивы, эксплуатируемые на инфраструктуре?",Локомотивы на инфраструктуре снабжаются радиостанциями и инвентарем.
713,Сколько носимых радиостанций допускается иметь на локомотиве?,На локомотиве разрешена одна носимая радиостанция.
714,Какое оборудование должны иметь маневровые локомотивы и локомотивы без помощника машиниста?,Маневровые локомотивы и локомотивы без помощника машиниста могут иметь одну радиостанцию.
715,В каких случаях не требуется снабжать железнодорожный подвижной состав носимыми радиостанциями?,Не требуется устанавливать радиостанции на автоматически эксплуатируемый подвижной состав.
716,Какое дополнительное оборудование должны иметь локомотивы и мотор-вагонный подвижной состав?,Локомотивы и мотор-вагонный подвижной состав имеют тормозные башмаки.
717,Как устанавливается порядок обслуживания и состав работников локомотивных бригад и бригад ССПС?,Порядок обслуживания и состав работников локомотивных бригад и бригад ССПС устанавливается локальным нормативным актом владельца железнодорожного подвижного состава.
718,Какие факторы учитываются при установлении порядка обслуживания и состава работников локомотивных бригад и бригад ССПС?,Порядок обслуживания и состав работников локомотивных бригад и бригад ССПС устанавливается с учетом требований локальных нормативных актов и условий эксплуатации.
719,Какие виды подвижного состава обслуживаются локомотивными бригадами и бригадами ССПС?,"Локомотивные бригады и бригады ССПС обслуживают локомотивы, мотор-вагонный подвижной состав и специальный самоходный подвижной состав."
720,Какие виды подвижного состава допускается эксплуатировать в автоматическом и дистанционном режимах?,"Локомотивы, мотор-вагонный подвижной состав, специальный самоходный подвижной состав."
721,Какими должны быть оснащены локомотивы и подвижной состав для эксплуатации в автоматическом и дистанционном режимах?,"Составные части, программные средства, возможность управления в ручном режиме."
722,Какими требованиями руководствуются при оборудовании локомотивов и подвижного состава для эксплуатации в автоматическом и дистанционном режимах?,"Требования пунктов 4, 22 - 26 ТР ТС 001/2011, конструкторская документация, Правила."
723,Кто несет ответственность за надежную работу систем автоматического и дистанционного управления подвижным составом?,Разработчики и производители систем.
724,Какие дополнительные составные части подсистем инфраструктуры железнодорожного транспорта могут быть установлены на участках эксплуатации подвижного состава в автоматическом и дистанционном режимах?,"Дополнительные составные части, обеспечивающие безопасность движения."
725,Какое техническое обслуживание должны проходить пассажирские и грузовые вагоны?,Вагоны должны проходить техническое обслуживание и ремонт при неисправности.
726,Что должно происходить с вагонами на железнодорожных станциях без пунктов технического обслуживания?,Вагоны должны быть осмотрены и подготовлены для следования до ближайшей станции с пунктом технического обслуживания.
727,Как определяется организация системы технического обслуживания и текущего ремонта вагонов?,Организация обслуживания и ремонта вагонов определяется нормативным актом владельца инфраструктуры.
728,Какие порядки устанавливаются для технического обслуживания и ремонта вагонов на инфраструктуре и на станциях без пунктов технического обслуживания?,Устанавливаются порядки для обслуживания и ремонта вагонов на инфраструктуре и на станциях без пунктов технического обслуживания.
729,Как устанавливается порядок технического обслуживания локомотивов и подвижного состава?,Порядок обслуживания локомотивов и подвижного состава устанавливается нормативным актом владельца.
730,Какие составные части вагона проверяются при техническом обслуживании?,проверяются состояние и износ узлов и деталей
731,Какие устройства проверяются при техническом обслуживании пассажирских вагонов?,"проверяется исправность тормозного оборудования, буферного и автосцепного устройств, средств сигнализации"
732,Что должно быть исправным у грузовых вагонов для обеспечения сохранности перевозимых грузов?,исправность кузовов и котлов цистерн грузовых вагонов
733,Какие устройства должны предохранять от падения на железнодорожный путь детали и оборудование?,"устройства, предохраняющие от падения на железнодорожный путь деталей и оборудования"
734,Что должны обеспечивать работники пунктов технического обслуживания грузовых и пассажирских вагонов?,"техническое обслуживание и ремонт вагонов, обеспечивающие проследование вагонов в исправном состоянии"
735,Каким лицам разрешено проезд в нерабочей кабине локомотива?,Проезд в нерабочей кабине локомотива разрешен наряду ведомственной охраны и другим лицам.
736,Каким образом осуществляется проезд в нерабочей кабине локомотива?,Проезд в нерабочей кабине локомотива осуществляется в соответствии с локальным нормативным актом владельца инфраструктуры.
737,Какие лица могут использовать нерабочую кабину локомотива?,Нерабочую кабину локомотива могут использовать наряд ведомственной охраны и другие лица.
738,Какие действия запрещены на деповских железнодорожных путях и железнодорожных путях необщего пользования?,"Запрещается оставлять на деповских железнодорожных путях и железнодорожных путях необщего пользования в рабочем состоянии локомотивы, мотор-вагонный и специальный самоходный подвижной состав"
739,Кто должен наблюдать за локомотивами и подвижным составом на станционных железнодорожных путях?,без машиниста или его помощника
740,Как осуществляется выход локомотивов и подвижного состава с железнодорожных путей необщего пользования?,Выход локомотивов и подвижного состава с железнодорожных путей необщего пользования осуществляется в соответствии с законом.
741,Какой закон регулирует выход локомотивов и подвижного состава с железнодорожных путей необщего пользования?,"Закон ""О железнодорожном транспорте в Российской Федерации"" регулирует выход локомотивов и подвижного состава."
742,Где осуществляется выход локомотивов и подвижного состава?,Локомотивы и подвижной состав выходят на железнодорожные пути общего пользования.
743,Как выполняется техническое обслуживание и ремонт железнодорожного подвижного состава?,"выполняется в соответствии с порядком, устанавливаемым локальным нормативным актом"
744,На каких путях выполняется техническое обслуживание и ремонт железнодорожного подвижного состава?,на железнодорожных путях общего пользования с номинальной шириной колеи 1435 мм
745,Какие нормативные акты устанавливают порядок технического обслуживания и ремонта железнодорожного подвижного состава?,"порядок, устанавливаемый локальным нормативным актом"
746,Какие требования устанавливает Инструкция по сигнализации на железнодорожном транспорте РФ?,Инструкция по сигнализации в железнодорожном транспорте РФ устанавливает требования к сигналам и типам сигнальных приборов для безопасной работы железной дороги.
747,"В соответствии с чем разрабатываются нормативные и технические документы, относящиеся к сигнализации на железнодорожном транспорте?",Документы для сигнализации на железнодорожном транспорте разрабатываются согласно требованиям инструкции.
748,Какие виды сигналов используются на железнодорожном транспорте?,На железнодорожном транспорте применяются визуальные (видимые) и звуковые сигналы
749,Какие приборы используются для подачи визуальных сигналов?,"Визуальные сигналы на железнодорожном транспорте передаются с помощью различных сигнальных приборов, включая светофоры, локомотивные светофоры и семафоры."
750,Какие условия могут привести к применению ночных сигналов?,"В условиях плохой видимости (например, при тумане или метели) на железнодорожном транспорте необходимо использовать ночные сигналы."
751,Где применяются ночные сигналы?,В железнодорожных тоннелях применяются только ночные или круглосуточные сигналы.
752,Как определяются периоды светлого и темного времени суток на железнодорожном транспорте?,В железнодорожном транспорте светлое и темное время суток определяется местным нормативным актом владельца инфраструктуры или железнодорожного пути необщего пользования.
753,Что является источниками звуковых сигналов на железнодорожном транспорте?,"Звуковые сигналы на железнодорожном транспорте подаются с помощью свистков локомотивов, гудков, петард и других устройств."
754,Какие источники света используются в светофорах на железнодорожном транспорте?,В светофорах на железнодорожном транспорте используют светоизлучающие диоды или лампы накаливания.
755,В каком режиме должны работать светофоры на железнодорожном транспорте?,Светофоры на железнодорожном транспорте должны работать в непрерывном или нормальном режиме.
756,Какой режим работы светофора называется “нормально негорящим”?,"Нормально негорящий режим работы светофора – это режим, в котором светофор не отображает ни один из доступных сигналов, если такой режим предусмотрен инструкцией."
757,Как обозначаются проходные светофоры автоблокировки?,Проходные светофоры автоблокировки обозначаются цифрами. Другие светофоры обозначаются буквами или комбинацией букв и цифр.
758,Где располагается литерная табличка на проходных светофорах?,"На проходных светофорах на двухпутных и многопутных участках, оборудованных устройствами для движения по неправильному пути и управляемых сигналами локомотивных светофоров, с обеих сторон мачты устанавливаются литерные таблички."
759,"Какое показание проходных светофоров является нормальным на участках железнодорожных путей, оборудованных автоблокировкой?","На участках железнодорожных путей, оборудованных автоблокировкой, нормальные показания проходных светофоров разрешающие или нормально негорящие, а входных, маршрутных и выходных – запрещающие."
760,"Как загораются сигнальные огни на проходном светофоре на участках, оборудованных автоблокировкой?",Нормально негорящие сигналы проходного светофора на автоблокированных участках загораются при въезде поезда на блок-участок перед светофором и гаснут после выезда поезда с этого блок-участка.
761,"На каких участках железнодорожных путей входные, маршрутные и выходные светофоры переводятся на автоматическое действие?","На участках железнодорожных путей, где входные, маршрутные и выходные светофоры переведены на автоматическое действие для беспрепятственного пропуска поездов через станцию, разрешающее показание является нормальным при таком режиме работы."
762,Какие железнодорожные станции имеют недостаточную длину?,"При отправлении поездов с коротких путей, когда голова поезда находится за выходным (маршрутным) светофором, на его обратной стороне устанавливается повторительная головка светофора в соответствии с местным нормативным актом владельца инфраструктуры (владелец железнодорожных путей необщего пользования)."
763,Для каких железнодорожных путей устанавливается групповой выходной и маршрутный светофор?,"Групповые выходные и маршрутные светофоры для группы путей должны устанавливаться в соответствии с нормативными актами владельца инфраструктуры или железнодорожных путей необщего пользования, за исключением путей, по которым производится безостановочный пропуск поездов."
764,Чем дополняются групповые выходные и маршрутные светофоры?,"Групповые выходные и маршрутные светофоры должны иметь маршрутные указатели, которые показывают номер пути, с которого разрешено отправление поезда."
765,Где устанавливаются проходные светофоры автоматической блокировки?,"Проходные светофоры автоматической блокировки ставятся между блок-участками, а светофоры полуавтоматической блокировки - между межпостовыми перегонами."
766,Где применяется сигнализация безостановочного пропуска поездов?,"На железнодорожных станциях с автоматической или полуавтоматической блокировкой, а также на участках с автоматической локомотивной сигнализацией, где планируется безостановочный пропуск поездов по главным и приемо-отправочным железнодорожным путям, используется сигнализация безостановочного пропуска поездов на входных и маршрутных светофорах"
767,Где применяется сигнализация безостановочного пропуска?,Сигнализация для пропуска без перерыва используется на главном и смежном боковом пути железнодорожной станции.
768,"Кем устанавливается перечень станционных железнодорожных путей, оборудованных сигнализацией безостановочного пропуска?",Станционные железнодорожные пути с сигнализацией безостановочного пропуска устанавливаются локальным нормативным актом владельца инфраструктуры (владельца ЖД путей необщего пользования).
769,Какие значения сигналов должны применяться на железнодорожном транспорте?,"На железнодорожном транспорте сигналы светофоров следующие: ""светофор закрыт"" - красный или синий огонь; ""светофор открыт"" - зеленый, желтый, лунно-белый огонь или их сочетание."
770,Что означает один зеленый огонь на светофоре и как это влияет на движение поезда?,"Зеленый огонь разрешает движение с установленной скоростью, следующий светофор открыт."
771,Как следует понимать сигнал одного желтого мигающего огня на светофоре и какое требование выставляется относительно следующего светофора в контексте движения поезда?,"Желтый мигающий огонь - движение с установленной скоростью, следующий светофор открытый - движение с уменьшенной скоростью."
772,Как следует трактовать сигнал одного жёлтого огня на светофоре и какое состояние следующего светофора это обозначает в контексте движения поезда?,"Желтый огонь - движение с готовностью к остановке, следующий светофор закрыт."
773,Как определяются значения сигналов двузначной сигнализации на железнодорожных путях необщего пользования?,На железнодорожных путях с двузначной сигнализацией значения светофоров определяются актом владельца путей.
774,"Каким должно быть расстояние между смежными светофорами на железнодорожных линиях, оборудованных автоблокировкой с трехзначной сигнализацией?","На железнодорожных линиях с трехзначной сигнализацией расстояние между светофорами должно соответствовать тормозному пути при полном служебном торможении на максимальной скорости, но не превышающей 120 км/ч для пассажирских поездов и 80 км/ч для грузовых поездов."
775,Каким должно быть расстояние между смежными светофорами на железнодорожных линиях?,Расстояние должно быть не менее тормозного пути при экстренном торможении с учетом времени реакции автоматической локомотивной сигнализации.
776,При каких условиях расстояние между светофорами должно составлять не менее 1000 метров?,"На участках с видимостью сигналов менее 400 м и на новых железнодорожных линиях с автоблокировкой, расстояние между светофорами должно быть не менее 1000 м."
777,Кто может принимать решение об установке расстояния между светофорами менее требуемого тормозного пути?,"По решению владельца железнодорожной инфраструктуры с трехзначной сигнализацией, светофоры можно устанавливать ближе положенного."
778,В каких случаях используются световые указатели на железнодорожных станциях?,"Световые указатели применяются на железнодорожных станциях, если расстояние между смежными светофорами менее тормозного пути."
779,"Каким должно быть расстояние между входным, маршрутными и выходным светофорами на участках с полуавтоматической блокировкой?","На участках с полуавтоматической блокировкой: расстояние между входным, маршрутным и выходным светофорами должно соответствовать тормозному пути, рассчитанному для данного участка при полном служебном торможении на максимальной скорости; если на этом участке установлены путевые устройства автоматической локомотивной сигнализации, то это расстояние также должно учитывать тормозной путь при экстренном торможении, включая путь, который поезд пройдет за время реакции устройств автоматической локомотивной сигнализации на тормозную систему поезда."
780,В каких случаях автоматическая локомотивная сигнализация применяется как самостоятельное средство интервального регулирования движением поездов?,"На участках, где автоматическая локомотивная сигнализация используется для регулирования движения поездов, длина смежных блок-участков должна быть не менее длины тормозного пути, необходимой для экстренного торможения при максимальной скорости."
